time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
47,76.78928092,11.36052154,3.178708903,0.081855015,0.131447628,0.342569526,1.453501776,0,0,0,0.016711281,-46.15582397,0,496.3624795,73.43390347,20.54703227,0,0,0,0,0,0,0,-293.963149,0,0,219.32,314.95,0,0,0,0,0,0,0,0,0,0,0,0
48,81.76200814,12.40362707,3.888048083,0.089227815,0.144734054,0.351150648,1.603812139,0,0,0,0.019395746,-50.56534538,0,527.4602724,80.01785501,25.0824429,0,0,0,0,0,0,0,-321.2788915,0,0,149.39,315.05,0,0,0,0,0,0,0,0,0,0,0,0
49,78.99134992,11.81599297,3.440347871,0.086044476,0.139442509,0.351906572,1.518693471,0,0,0,0.017655905,-48.03229276,0,508.8791165,76.12114576,22.16345444,0,0,0,0,0,0,0,-304.8293081,0,0,192.22,314.9,0,0,0,0,0,0,0,0,0,0,0,0
50,79.20542963,11.83784402,3.415437624,0.087566536,0.142484934,0.358688132,1.512734175,0,0,0,0.017470892,-48.28763045,0,509.1798475,76.10073754,21.95647466,0,0,0,0,0,0,0,-305.8300824,0,0,178.29,314.8,0,0,0,0,0,0,0,0,0,0,0,0
51,77.32523403,11.4744434,3.227867019,0.083863765,0.135163094,0.348721174,1.471413726,0,0,0,0.016868737,-46.55418511,0,498.7604008,74.01203582,20.82026997,0,0,0,0,0,0,0,-295.8475012,0,0,210.13,314.95,0,0,0,0,0,0,0,0,0,0,0,0
52,86.1071143,13.30831062,4.334386604,0.098895575,0.163912465,0.378820467,1.730737097,0,0,0,0.020822489,-54.18754989,0,550.0259117,85.00941812,27.68673603,0,0,0,0,0,0,0,-340.8036106,0,0,136.98,314.85,0,0,0,0,0,0,0,0,0,0,0,0
53,86.31673785,13.36842872,4.359363099,0.099362252,0.164991326,0.380592967,1.743497294,0,0,0,0.02091433,-54.20893232,0,550.1289286,85.20200776,27.78385527,0,0,0,0,0,0,0,-340.1501409,0,0,128.15,314.9,0,0,0,0,0,0,0,0,0,0,0,0
54,79.12131733,11.84052339,3.446636785,0.085808051,0.139151861,0.351395902,1.519701207,0,0,0,0.017660876,-48.12448193,0,509.1884015,76.2001617,22.18096885,0,0,0,0,0,0,0,-305.1027319,0,0,189.76,314.8,0,0,0,0,0,0,0,0,0,0,0,0
55,86.58363672,13.40006989,4.387168163,0.095469492,0.158519817,0.36790178,1.732227462,0,0,0,0.020978997,-54.56499059,0,551.8369622,85.40475015,27.96142139,0,0,0,0,0,0,0,-342.4393598,0,0,128.14,315.3,0,0,0,0,0,0,0,0,0,0,0,0
56,77.22364862,11.44887133,3.210639606,0.081820075,0.131410217,0.342173544,1.462735305,0,0,0,0.016797245,-46.45789211,0,497.92357,73.82017022,20.70160065,0,0,0,0,0,0,0,-295.1468368,0,0,220.6,315.2,0,0,0,0,0,0,0,0,0,0,0,0
57,77.79161774,11.56856794,3.287766922,0.082375969,0.132519649,0.342455477,1.48057162,0,0,0,0.017094263,-46.94133821,0,501.3966023,74.56382609,21.19090992,0,0,0,0,0,0,0,-298.0888985,0,0,207.88,314.8,0,0,0,0,0,0,0,0,0,0,0,0
58,79.18857535,11.85582622,3.453039138,0.084695704,0.137119985,0.347546179,1.520127864,0,0,0,0.017683824,-48.14019915,0,509.261495,76.24478351,22.20648454,0,0,0,0,0,0,0,-304.9899275,0,0,189.31,314.7,0,0,0,0,0,0,0,0,0,0,0,0
59,82.23286156,12.49507762,3.848358637,0.088969656,0.14544437,0.354494801,1.611385117,0,0,0,0.019127742,-50.75345063,0,527.1016067,80.09177066,24.6674624,0,0,0,0,0,0,0,-320.4125273,0,0,160.58,314.8,0,0,0,0,0,0,0,0,0,0,0,0
60,86.63376463,13.40446583,4.365413564,0.096218908,0.159803712,0.371037824,1.731071023,0,0,0,0.020861846,-54.60780015,0,551.6755554,85.35836075,27.79853748,0,0,0,0,0,0,0,-342.4146943,0,0,130.41,314.8,0,0,0,0,0,0,0,0,0,0,0,0
