time,D,SCODin,OLR,pH,SCODout,VFAout,Biogas,,,,
1.90E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,4.696635723,15.28138447,34770.727,,,,0.652083337
2.00E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,5.139514923,14.46613026,34915.46,,,,0.624975145
2.10E+01,3.33E-01,1.45E+01,4.83E+00,7.90E+00,5.492666721,13.64751625,35063.203,,,,0.640806019
2.20E+01,3.33E-01,1.45E+01,4.83E+00,7.90E+00,5.720256805,12.93673992,37653.92,,,,0.688578665
2.30E+01,3.33E-01,1.45E+01,4.83E+00,7.91E+00,5.835495949,12.44499969,37899.164,,,,0.737202048
2.40E+01,3.33E-01,1.45E+01,4.83E+00,7.91E+00,5.863856792,12.25184536,37581.67,,,,0.757305264
2.50E+01,3.33E-01,1.45E+01,4.83E+00,7.92E+00,5.830811501,12.31022835,37601.934,,,,0.746490717
2.60E+01,3.33E-01,1.45E+01,4.83E+00,7.92E+00,5.761833191,12.54145336,37169.586,,,,0.709104359
2.70E+01,3.33E-01,1.45E+01,4.83E+00,7.91E+00,5.680556297,12.86682224,37523.508,,,,0.654471815
2.80E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,5.603267193,13.20763969,37874.062,,,,0.611838043
2.90E+01,3.33E-01,1.45E+01,4.83E+00,7.88E+00,5.544414043,13.48520947,37760.496,,,,0.608713806
3.00E+01,3.33E-01,1.45E+01,4.83E+00,7.87E+00,5.518445492,13.6208334,37737.945,,,,0.645754218
3.10E+01,3.33E-01,1.45E+01,4.83E+00,7.86E+00,5.539810181,13.56330299,37830.8,,,,0.710699916
3.20E+01,3.33E-01,1.45E+01,4.83E+00,7.84E+00,5.622956753,13.37135792,37755.797,,,,0.766489923
3.30E+01,3.33E-01,1.45E+01,4.83E+00,7.83E+00,5.782333374,13.13122368,37689.5,,,,0.769862831
3.40E+01,3.33E-01,1.45E+01,4.83E+00,7.85E+00,6.023612022,12.92912769,38229.19,,,,0.703697979
3.50E+01,3.33E-01,1.45E+01,4.83E+00,7.87E+00,6.31735754,12.85129642,38052.883,,,,0.655438006
3.60E+01,3.33E-01,1.45E+01,4.83E+00,7.90E+00,6.625358105,12.98395634,38253.156,,,,0.698585927
3.70E+01,5.00E-01,1.49E+01,7.44E+00,7.92E+00,6.909401417,13.41333294,37983.383,,,,0.746322513
3.80E+01,5.00E-01,1.49E+01,7.44E+00,7.94E+00,7.131275177,14.19071007,37929.523,,,,0.710032225
3.90E+01,5.00E-01,1.49E+01,7.44E+00,7.96E+00,7.252767563,15.22759056,37446.035,,,,0.654236257
4.00E+01,5.00E-01,1.49E+01,7.44E+00,7.99E+00,7.235666752,16.40053558,37383.387,,,,0.681739867
4.10E+01,5.00E-01,1.49E+01,7.44E+00,8.02E+00,7.06360817,17.58610725,38058.535,,,,0.862912238
4.20E+01,5.00E-01,1.49E+01,7.44E+00,8.06E+00,6.807617664,18.66086197,38284.4,,,,1.138377428
4.30E+01,5.00E-01,1.49E+01,7.44E+00,8.09E+00,6.560567856,19.50136185,38655.227,,,,1.412922025
4.40E+01,5.00E-01,1.49E+01,7.44E+00,8.13E+00,6.415333271,19.9841671,37919.008,,,,1.577727079
4.50E+01,5.00E-01,1.49E+01,7.44E+00,8.07E+00,6.437568188,20.0340023,37809.34,,,,1.557744861
4.60E+01,5.00E-01,1.49E+01,7.44E+00,8.02E+00,6.584054947,19.76825523,37968.477,,,,1.426618576
4.70E+01,5.00E-01,1.49E+01,7.44E+00,7.96E+00,6.784358025,19.35247231,38775.13,,,,1.295164585
4.80E+01,5.00E-01,1.49E+01,7.44E+00,7.91E+00,6.968040466,18.95220375,38485.16,,,,1.2550354
4.90E+01,5.00E-01,1.49E+01,7.44E+00,7.85E+00,7.064666748,18.73300362,38456.953,,,,1.321230531
5.00E+01,5.00E-01,1.49E+01,7.44E+00,7.85E+00,7.023888588,18.86041832,38286.785,,,,1.467272639
5.10E+01,5.00E-01,1.49E+01,7.44E+00,7.84E+00,6.875709057,19.5,38954.156,,,,1.577431917
5.20E+01,5.00E-01,1.49E+01,7.44E+00,7.83E+00,6.670218468,20.69400787,38675.164,,,,1.55254519
5.30E+01,5.00E-01,1.49E+01,7.44E+00,7.83E+00,6.457507133,21.99154854,38487.668,,,,1.448968053
5.40E+01,5.00E-01,1.49E+01,7.44E+00,7.82E+00,6.287666798,22.81843567,38523.883,,,,1.361935735
5.50E+01,5.00E-01,1.49E+01,7.44E+00,7.79E+00,6.190878868,22.60048485,38701.062,,,,1.374795318
5.60E+01,5.00E-01,1.49E+01,7.44E+00,7.76E+00,6.117690086,20.76351357,38713.13,,,,1.523340225
5.70E+01,5.00E-01,7.44E+00,3.72E+00,7.73E+00,5.998739719,16.73333359,38710.188,,,,1.5624156
5.80E+01,5.00E-01,7.44E+00,3.72E+00,7.70E+00,5.764666557,10.92333317,38857.46,,,,0.796490371
5.90E+01,5.00E-01,7.44E+00,3.72E+00,7.70E+00,5.368866444,6.727926254,38840.586,,,,0.356689334
6.00E+01,5.00E-01,7.44E+00,3.72E+00,7.71E+00,4.855768681,4.652087688,38792.707,,,,0.369034588
6.10E+01,5.00E-01,7.44E+00,3.72E+00,7.71E+00,4.292559147,4.231538296,38398.22,,,,0.55180639
6.20E+01,5.00E-01,7.44E+00,3.72E+00,7.72E+00,3.746424198,5.001999855,38294.758,,,,0.623285055
6.30E+01,5.00E-01,7.44E+00,3.72E+00,7.72E+00,3.284550667,6.499194145,37499.57,,,,0.521987677
6.40E+01,5.00E-01,7.44E+00,3.72E+00,7.72E+00,2.974124908,8.258842468,37665.406,,,,0.654297113
6.50E+01,5.00E-01,7.44E+00,3.72E+00,7.73E+00,2.882333279,9.816666603,38652.38,,,,0.644616187
6.60E+01,5.00E-01,1.08E+01,5.39E+00,7.73E+00,3.048291206,10.81766129,37837.676,,,,1.325424314
6.70E+01,5.00E-01,1.08E+01,5.39E+00,7.73E+00,3.39882803,11.34391308,36922.438,,,,1.153510094
6.80E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,3.832702875,11.58678341,37376.785,,,,1.171673656
6.90E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.248673916,11.73763371,37013.29,,,,2.268182278
7.00E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.545499802,11.98782349,36766.97,,,,2.283035994
7.10E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.649909496,12.52871418,37360.617,,,,2.0962677
7.20E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.600515366,13.55166626,37753.02,,,,1.909943461
7.30E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.463899612,15.17180061,37828.664,,,,1.575156212
7.40E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,4.306644917,17.19927979,37351.438,,,,1.270994067
7.50E+01,5.00E-01,1.08E+01,5.39E+00,7.73E+00,4.195333481,19.36802864,37850.977,,,,1.257093191
7.60E+01,5.00E-01,1.08E+01,5.39E+00,7.68E+00,4.179165363,21.41196823,37861.855,,,,1.793089509
7.70E+01,5.00E-01,1.08E+01,5.39E+00,7.62E+00,4.237808228,23.06502151,37790.2,,,,2.55493784
7.80E+01,5.00E-01,1.08E+01,5.39E+00,7.57E+00,4.333547115,24.06111336,37760.203,,,,2.069250345
7.90E+01,5.00E-01,1.08E+01,5.39E+00,7.51E+00,4.428666592,24.13416672,38126.777,,,,2.121938705
8.00E+01,5.00E-01,1.08E+01,5.39E+00,7.54E+00,4.491225719,23.12022209,38188.008,,,,2.337445498
8.10E+01,5.00E-01,1.08E+01,5.39E+00,7.57E+00,4.512377739,21.26379585,37771.773,,,,2.43109417
8.20E+01,5.00E-01,1.08E+01,5.39E+00,7.59E+00,4.489049911,18.91152382,37813.45,,,,2.365567446
8.30E+01,5.00E-01,1.08E+01,5.39E+00,7.62E+00,4.418170452,16.4100399,37812.59,,,,2.103547096
8.40E+01,5.00E-01,1.08E+01,5.39E+00,7.65E+00,4.296666622,14.10597992,37874.906,,,,1.607715726
8.50E+01,5.00E-01,1.08E+01,5.39E+00,7.68E+00,4.130125999,12.34597683,37779.086,,,,1.186955094
8.60E+01,5.00E-01,1.08E+01,5.39E+00,7.71E+00,3.958780766,11.47666645,38049.426,,,,1.721733212
8.70E+01,5.00E-01,1.08E+01,5.39E+00,7.74E+00,3.831521988,11.73003101,37156.31,,,,1.771964908
8.80E+01,5.00E-01,1.08E+01,5.39E+00,7.77E+00,3.797242165,12.87944508,37814.33,,,,1.42874825
8.90E+01,5.00E-01,1.08E+01,5.39E+00,7.80E+00,3.904833317,14.58362865,37684.805,,,,1.3692801
9.00E+01,5.00E-01,1.08E+01,5.39E+00,7.80E+00,4.178441048,16.50130463,38110.297,,,,1.804017663
9.10E+01,5.00E-01,1.08E+01,5.39E+00,7.80E+00,4.543227673,18.29119492,38529.78,,,,1.900751352
9.20E+01,5.00E-01,1.08E+01,5.39E+00,7.80E+00,4.899608612,19.61201859,37802.19,,,,2.58648324
9.30E+01,5.00E-01,1.08E+01,5.39E+00,7.80E+00,5.147999763,20.12249947,38306.926,,,,2.314021349
9.40E+01,5.00E-01,1.08E+01,5.39E+00,7.75E+00,5.215760708,19.59284019,38311.8,,,,2.00328064
9.50E+01,5.00E-01,1.08E+01,5.39E+00,7.71E+00,5.138027668,18.23917961,37859.766,,,,1.931509614
9.60E+01,5.00E-01,1.08E+01,5.39E+00,7.67E+00,4.97688055,16.38913536,37916.113,,,,1.96869123
9.70E+01,5.00E-01,1.08E+01,5.39E+00,7.62E+00,4.794400215,14.37032509,37882.91,,,,1.984807968
9.80E+01,5.00E-01,1.08E+01,5.39E+00,7.58E+00,4.652666569,12.51037025,37800.906,,,,1.929889679
9.90E+01,5.00E-01,1.08E+01,5.39E+00,7.59E+00,4.597126484,11.1368885,37585.66,,,,1.983257294
1.00E+02,5.00E-01,1.08E+01,5.39E+00,7.61E+00,4.606692791,10.57750034,38858.332,,,,2.040686131
1.01E+02,5.00E-01,1.08E+01,5.39E+00,7.62E+00,4.64364624,11.05479813,38675.117,,,,1.954694986
1.02E+02,5.00E-01,1.08E+01,5.39E+00,7.64E+00,4.670266628,12.37127113,38188.844,,,,1.768369317
1.03E+02,5.00E-01,1.08E+01,5.39E+00,7.65E+00,4.648833275,14.22438335,38132.637,,,,1.572436213
1.04E+02,5.00E-01,1.08E+01,5.39E+00,7.68E+00,4.553702354,16.31159973,38585.027,,,,1.457622409
1.05E+02,5.00E-01,1.08E+01,5.39E+00,7.70E+00,4.407530785,18.33038139,38346.445,,,,1.514655232
1.06E+02,5.00E-01,1.08E+01,5.39E+00,7.73E+00,4.245052338,19.97819328,38261.027,,,,1.778273344
1.07E+02,5.00E-01,1.08E+01,5.39E+00,7.76E+00,4.100999832,20.95249939,38611.38,,,,2.06746912
1.08E+02,5.00E-01,1.08E+01,5.39E+00,7.78E+00,4.003603935,21.03776741,38500.797,,,,2.21762991
1.09E+02,5.00E-01,1.08E+01,5.39E+00,7.81E+00,3.955086946,20.3664875,38388.15,,,,2.23058033
1.10E+02,5.00E-01,1.08E+01,5.39E+00,7.83E+00,3.951167345,19.15815544,38682.45,,,,2.147703409
1.11E+02,5.00E-01,1.08E+01,5.39E+00,7.86E+00,3.987565279,17.63226128,38751.066,,,,2.010381699
1.12E+02,5.00E-01,1.08E+01,5.39E+00,7.88E+00,4.059999943,16.00830269,38407.39,,,,1.859997988
1.13E+02,5.00E-01,1.08E+01,5.39E+00,7.93E+00,4.162970066,14.50577354,39231.24,,,,1.733522773
1.14E+02,5.00E-01,1.08E+01,5.39E+00,7.97E+00,4.286092281,13.34416676,36900.355,,,,1.650276899
1.15E+02,5.00E-01,1.08E+01,5.39E+00,8.01E+00,4.417762756,12.69235992,38365.508,,,,1.619797349
1.16E+02,5.00E-01,1.08E+01,5.39E+00,8.05E+00,4.546377659,12.5167532,38588.457,,,,1.630134702
1.17E+02,5.00E-01,1.08E+01,5.39E+00,8.09E+00,4.660333157,12.73313236,38416.727,,,,1.663967967
1.18E+02,5.00E-01,1.08E+01,5.39E+00,8.12E+00,4.746819496,13.2572794,38874.48,,,,1.703976035
1.19E+02,5.00E-01,1.08E+01,5.39E+00,8.15E+00,4.7882061,14.00497818,39001.863,,,,1.732837796
1.20E+02,5.00E-01,1.08E+01,5.39E+00,8.18E+00,4.765655994,14.8920126,38609.58,,,,1.733232379
1.21E+02,5.00E-01,1.08E+01,5.39E+00,8.21E+00,4.660333157,15.83416653,38499.29,,,,1.69137609
1.22E+02,5.00E-01,1.08E+01,5.39E+00,8.19E+00,4.466564655,16.76186562,38587.062,,,,1.618821263
1.23E+02,5.00E-01,1.08E+01,5.39E+00,8.18E+00,4.231333256,17.66410637,38726.73,,,,1.575401425
1.24E+02,5.00E-01,1.08E+01,5.39E+00,8.16E+00,4.01478672,18.54453087,38987.43,,,,1.632135987
1.25E+02,5.00E-01,1.08E+01,5.39E+00,8.15E+00,3.877070904,19.40677452,39164.06,,,,1.860044241
1.26E+02,5.00E-01,1.08E+01,5.39E+00,8.13E+00,3.87833333,20.25448036,38972.3,,,,2.186723471
1.27E+02,5.00E-01,1.08E+01,5.39E+00,8.14E+00,4.061453819,21.09128761,39182.3,,,,2.198374033
1.28E+02,5.00E-01,1.08E+01,5.39E+00,8.16E+00,4.400244236,21.92083359,38407.117,,,,2.143032074
1.29E+02,5.00E-01,1.08E+01,5.39E+00,8.17E+00,4.851250172,22.73900795,38329.49,,,,2.03234148
1.30E+02,5.00E-01,1.08E+01,5.39E+00,8.19E+00,5.371016026,23.51070023,39030.168,,,,1.861868978
1.31E+02,5.00E-01,1.08E+01,5.39E+00,8.20E+00,5.916088104,24.19304276,39090.53,,,,1.654139042
1.32E+02,5.00E-01,1.08E+01,5.39E+00,8.21E+00,6.44301033,24.74317551,38909.55,,,,1.431676745
1.33E+02,5.00E-01,1.08E+01,5.39E+00,8.23E+00,6.908328533,25.11823273,38740.996,,,,1.426038504
1.34E+02,5.00E-01,1.44E+01,7.19E+00,8.24E+00,7.268588066,25.27535057,38802.28,,,,2.049831629
1.35E+02,5.00E-01,1.44E+01,7.19E+00,8.26E+00,7.480333328,25.1716671,39058.84,,,,2.032217741
1.36E+02,5.00E-01,1.44E+01,7.19E+00,8.23E+00,7.519741058,24.78591919,38897.82,,,,2.042509079
1.37E+02,5.00E-01,1.44E+01,7.19E+00,8.20E+00,7.441512585,24.18325806,38615.004,,,,2.213517189
1.38E+02,5.00E-01,1.44E+01,7.19E+00,8.17E+00,7.319980145,23.45042992,38889.266,,,,2.361970663
1.39E+02,5.00E-01,1.44E+01,7.19E+00,8.15E+00,7.229476452,22.67419052,38398.887,,,,2.304599047
1.40E+02,5.00E-01,1.44E+01,7.19E+00,8.12E+00,7.244333267,21.94128799,38461.98,,,,2.169974327
1.41E+02,5.00E-01,1.44E+01,7.19E+00,8.05E+00,7.407819271,21.33847427,37927.832,,,,2.586406231
1.42E+02,5.00E-01,1.44E+01,7.19E+00,7.99E+00,7.63894701,20.95249939,38002.28,,,,2.406982899
1.43E+02,5.00E-01,1.44E+01,7.19E+00,7.92E+00,7.825665474,20.84408569,38589.668,,,,2.620228052
1.44E+02,5.00E-01,1.44E+01,7.19E+00,7.85E+00,7.855922222,20.96984673,39010.562,,,,2.54874444
1.45E+02,5.00E-01,1.44E+01,7.19E+00,7.78E+00,7.617666721,21.26036453,39075.95,,,,2.200128317
1.46E+02,5.00E-01,1.44E+01,7.19E+00,7.77E+00,7.062146664,21.64622116,39008.426,,,,1.935934424
1.47E+02,5.00E-01,1.44E+01,7.19E+00,7.75E+00,6.393808842,22.05800247,38637.867,,,,2.117717028
1.48E+02,5.00E-01,1.44E+01,7.19E+00,7.74E+00,5.880400181,22.42629051,38969.195,,,,2.5534091
1.49E+02,5.00E-01,1.44E+01,7.19E+00,7.73E+00,5.789666653,22.68166733,38499.723,,,,2.064847708
1.50E+02,5.00E-01,1.44E+01,7.19E+00,7.76E+00,6.300470352,22.76991081,38480.69,,,,2.579586744
1.51E+02,5.00E-01,1.44E+01,7.19E+00,7.80E+00,7.236134052,22.69756889,38820.555,,,,2.814814806
1.52E+02,5.00E-01,1.44E+01,7.19E+00,7.84E+00,8.331095695,22.48638153,39071.47,,,,2.546068192
1.53E+02,5.00E-01,1.49E+01,7.44E+00,7.87E+00,9.319793701,22.1580925,38849.15,,,,2.127026081
1.54E+02,5.00E-01,1.49E+01,7.44E+00,7.91E+00,9.936666489,21.73443794,38791.227,,,,1.887673616
1.55E+02,5.00E-01,1.49E+01,7.44E+00,7.87E+00,9.988839149,21.23716354,38718.684,,,,1.978035092
1.56E+02,5.00E-01,1.49E+01,7.44E+00,7.84E+00,9.574192047,20.68800735,38624.53,,,,2.183709383
1.57E+02,5.00E-01,1.49E+01,7.44E+00,7.80E+00,8.86329174,20.10871315,38763.797,,,,2.264708281
1.58E+02,5.00E-01,1.49E+01,7.44E+00,7.76E+00,8.026705742,19.52101898,38727.996,,,,2.219425917
1.59E+02,5.00E-01,1.49E+01,7.44E+00,7.73E+00,7.235000134,18.94666672,38562.32,,,,2.105851412
1.60E+02,5.00E-01,1.49E+01,7.44E+00,7.75E+00,6.658742905,18.40739822,38228.094,,,,1.981974125
1.61E+02,5.00E-01,1.49E+01,7.44E+00,7.77E+00,6.468501568,17.92495346,38277.08,,,,1.905783772
1.62E+02,5.00E-01,1.49E+01,7.44E+00,7.80E+00,6.834842682,17.5210743,38528.977,,,,1.935269594
1.63E+02,5.00E-01,1.49E+01,7.44E+00,7.82E+00,7.928333282,17.21750069,38236.277,,,,2.128421068
