time,D,SCODin,VFAin,OLR,pH,SCODout,VFAout,Biogas
87,0.333,0,0.0,0.0,7.8,267.7931596461428,19037.17862684049,0.004597797356639767
88,0.333,0,0.0,0.0,7.8,266.75769698278015,19424.812237528004,0.004976823890643597
89,0.333,0,0.0,0.0,7.8,263.52211397742525,19754.022738657382,0.005378039074709262
90,0.333,0,0.0,0.0,7.8,270.048860396338,20334.969885734467,0.0056728655903061425
91,0.333,0,0.0,0.0,7.8,276.2221127454619,20925.268463834826,0.006060355899702831
92,0.333,0,0.0,0.0,7.8,280.6746371528311,21488.001173827037,0.006489411946948762
93,0.333,0,0.0,0.0,7.8,287.56028323167743,22123.53723139641,0.006887441341128992
94,0.333,0,0.0,0.0,7.8,294.07050587365393,22771.484293949987,0.007330595710953728
95,0.333,0,0.0,0.0,7.8,293.4690032589322,23213.13233092929,0.00789009290380011
96,0.333,0,0.0,0.0,7.8,292.6290861425463,23641.1176667841,0.008427556974657352
97,0.333,0,0.0,0.0,7.8,297.14232653736286,24246.320685570012,0.008917089097963153
98,0.333,0,0.0,0.0,7.8,301.5744051781171,24844.313997829147,0.00947695660495559
99,0.333,0,0.0,0.0,7.8,306.83576489688784,25479.763762370218,0.010052608337736612
100,0.333,0,0.0,0.0,7.8,313.5523628188128,26181.513227228043,0.010640725447732095
101,0.333,0,0.0,0.0,7.8,320.6781276293423,26915.03313483026,0.01125960637826361
102,0.333,0,0.0,0.0,7.8,322.6662541974717,27470.884605920848,0.012000306445266022
103,0.333,0,0.0,0.0,7.8,323.9564817995037,28005.398573654362,0.012728457674691824
104,0.333,0,0.0,0.0,7.8,327.57454180992767,28637.66322233983,0.013446310834774298
105,0.333,0,0.0,0.0,7.8,335.4137492673357,29426.200643203836,0.014121919942284294
106,0.333,0,0.0,0.0,7.8,341.3473895105424,30156.998921493683,0.014933739959056317
107,0.333,0,0.0,0.0,7.8,345.0689295365117,30838.981358563495,0.015825264556537995
108,0.333,0,0.0,0.0,7.8,352.84879655376943,31668.751231574675,0.016581899689151615
109,0.333,0,0.0,0.0,7.8,354.5141761363546,32265.16901595468,0.01759727811394916
110,0.333,0,0.0,0.0,7.8,355.8424689535086,32846.973297252545,0.018556190533223937
111,0.333,0,0.0,0.0,7.8,362.2048141970938,33633.29125958527,0.019399877073190536
112,0.333,0,0.0,0.0,7.8,370.72128882839803,34520.786905148256,0.020318999420684984
113,0.333,0,0.0,0.0,7.8,376.00563998149846,35301.561322575435,0.021423639060757414
114,0.333,0,0.0,0.0,7.8,386.0330230520139,36285.79583979942,0.022323007155836714
115,0.333,0,0.0,0.0,7.8,400.5771054413848,37460.252536700034,0.023224254915380358
116,0.333,0,0.0,0.0,7.8,403.1535905196961,38221.10871268926,0.024645518290494904
117,0.333,0,0.0,0.0,7.8,403.75988318478284,38862.38874925899,0.025884009001778802
118,0.333,0,0.0,0.0,7.8,406.2342330154119,39566.918689031045,0.027033948242380687
119,0.333,0,0.0,0.0,7.8,412.9915638416538,40476.41849302111,0.028141038777069815
120,0.333,0,0.0,0.0,7.8,420.23541458210576,41419.48611662263,0.029377811514458247
121,0.333,0,0.0,0.0,7.8,428.847339546718,42434.76677864368,0.03060338934655924
122,0.333,0,0.0,0.0,7.8,437.11685887914155,43456.5463366127,0.03192313374538833
123,0.333,0,0.0,0.0,7.8,445.813786980934,44516.925498035715,0.03324710640163518
124,0.333,0,0.0,0.0,7.8,449.21618570408555,45327.76862500719,0.03482897906679068
125,0.333,0,0.0,0.0,7.8,457.00602750174016,46367.12475003031,0.03610403783358854
126,0.333,0,0.0,0.0,7.8,459.7954760984275,47179.89090898594,0.037827388605909555
127,0.333,0,0.0,0.0,7.8,469.0445499992441,48297.78750348287,0.03904537844577885
128,0.333,0,0.0,0.0,7.8,477.38918283033723,49396.46542384672,0.040628537478495874
129,0.333,0,0.0,0.0,7.8,486.82781459866857,50562.56571711353,0.04213159448765308
130,0.333,0,0.0,0.0,7.8,490.5188280028891,51435.63441511292,0.04398853483720136
131,0.333,0,0.0,0.0,7.8,494.26984907999633,52306.0736560445,0.04566380535283686
132,0.333,0,0.0,0.0,7.8,503.95229786380185,53505.92358106183,0.04706575476214914
133,0.333,0,0.0,0.0,7.8,510.76422842534646,54563.35197167853,0.04890980855162375
134,0.333,0,0.0,0.0,7.8,522.8528224909307,55936.59037668837,0.05040178701922849
135,0.333,0,0.0,0.0,7.8,533.2962757568421,57235.154633094586,0.05222835843052495
136,0.333,0,0.0,0.0,7.8,541.9377626869868,58464.14976075074,0.05416170339582918
137,0.333,0,0.0,0.0,7.8,546.8847849511402,59467.76755465293,0.05617836466606054
138,0.333,0,0.0,0.0,7.8,551.8839832552931,60473.78344059942,0.058056222617025394
139,0.333,0,0.0,0.0,7.8,562.9666700966709,61848.671834758425,0.0596250993259142
140,0.333,0,0.0,0.0,7.8,576.6489980572453,63408.434757932235,0.06139755966705933
141,0.333,0,0.0,0.0,7.8,586.4198888575703,64768.052628983016,0.06361025009645588
142,0.333,0,0.0,0.0,7.8,601.2618256679442,66412.91362636426,0.0652478890667236
143,0.333,0,0.0,0.0,7.8,612.9137461914858,67921.1776776985,0.0673743035484947
144,0.333,0,0.0,0.0,7.8,619.1326893025343,69093.6407255794,0.06973238503718233
145,0.333,0,0.0,0.0,7.8,625.5695414866103,70277.89893747041,0.07179408355019815
146,0.333,0,0.0,0.0,7.8,637.8595661662589,71852.11996813507,0.07353118842843621
147,0.333,0,0.0,0.0,7.8,650.7984046447818,73488.95956345425,0.07559189539035181
148,0.333,0,0.0,0.0,7.8,663.7199702980904,75149.90819392912,0.07774520646638805
149,0.333,0,0.0,0.0,7.8,675.3851953496194,76764.38407289851,0.08001128212491275
150,0.333,0,0.0,0.0,7.8,689.7646619951141,78556.76220568117,0.08200077552323498
